!amt_assignment_ids,!amt_worker_ids,!anger,!comment,!disgust,!fear,!joy,!sadness,!surprise,!valence,headline,id,unit_id
YW9ZZVMYWH5Z35Y661EZXY8Z5SZE2RMZS8Y6EZM0,A18WNE09USHJSG,"","","","","","","","","Cases: when the simple solution is the right one
",538,149803
YW9ZZVMYWH5Z35Y661EZ3K0ZS9Y19H4ZTJY17XZZ,AHFO0JTF5WO8J,"","","","","","","","","Cases: when the simple solution is the right one
",538,149803
YW9ZZVMYWH5Z35Y661EZEZ1ZT2YRJK82P0407R90,ALHOGP0VKKGM3,"","","","","","","","","Cases: when the simple solution is the right one
",538,149803
YW9ZZVMYWH5Z35Y661EZ3HNZY8HYWXPZGDY9FG6Z,AMJY7CKRBEI2A,"","","","","","","","","Cases: when the simple solution is the right one
",538,149803
YW9ZZVMYWH5Z35Y661EZNSBZW8ZH8XPM13HSEYMZ,A2LRADB3KFT2AO,"","","","","","","","","Cases: when the simple solution is the right one
",538,149803
YW9ZZVMYWH5Z35Y661EZ9WWZNRZHHTKTYBZ3Y9M0,A15L6WGIK3VU7N,"","","","","","","","","Cases: when the simple solution is the right one
",538,149803
YW9ZZVMYWH5Z35Y661EZ1ZDYVCYTV89ZH9ZDJW90,A8ERQT8X2HQPK,"","","","","","","","","Cases: when the simple solution is the right one
",538,149803
YW9ZZVMYWH5Z35Y661EZDKZZV8GDXW126F8MGZBZ,ARQ4J4TLTPBNC,"","","","","","","","","Cases: when the simple solution is the right one
",538,149803
YW9ZZVMYWH5Z35Y661EZGZMZ5PDC1GN0NV0XZX6Z,A1DCEOFAUIDY58,"","","","","","","","","Cases: when the simple solution is the right one
",538,149803
YW9ZZVMYWH5Z35Y661EZ1Z3C7VCCYYBZJV8BAKTZ,AZ209ZYWRSIUG,"","","","","","","","","Cases: when the simple solution is the right one
",538,149803
YW9ZZVMYWH5Z35Y661EZXY8Z5SZE2RMZS8Y6EZM0,A18WNE09USHJSG,"","","","","","","","","Pacers' Jackson misses gun hearing
",537,149802
YW9ZZVMYWH5Z35Y661EZ3K0ZS9Y19H4ZTJY17XZZ,AHFO0JTF5WO8J,"","","","","","","","","Pacers' Jackson misses gun hearing
",537,149802
